id,postcode
1000,S80 4XW
1001,WN8 1AY
1002,PH1 5US
1003,DA17 5QB
1004,BH21 3NB
1005,SO17 1PS
1006,BR3 3JF
1007,CR8 2FE
1008,CH64 2TY
1009,KA24 5EP
1010,CF32 8DN
1011,LS10 4HR
1012,HP8 4LA
1013,SR8 3LU
1014,AB16 7QQ
1015,OL15 9LJ
1016,DN35 9PW
1017,G69 7FL
1018,B90 3NJ
1019,PO30 4NF
1020,B62 0EH
1021,PO30 2NZ
1022,CV10 0NZ
1023,BA12 7JQ
1024,CH7 6FS
1025,ME8 7AD
1026,DD2 2LQ
1027,E1 4PZ
1028,WA16 9NB
1029,CR4 4LA
1030,OX17 1AG
1031,SW1E 6NL
1032,DD4 9NN
1033,SO21 3AP
1034,M30 9FJ
1035,SE18 5DH
1036,CT11 7NT
1037,CA6 5NF
1038,EX12 3BZ
1039,SY8 2NB
1040,NE25 8JF
1041,JE3 1NJ
1042,NR13 3BP
1043,BS35 4NH
1044,GL52 3BS
1045,KA30 9LY
1046,MK16 9LH
1047,BH4 8BL
1048,BL6 5RF
1049,OX26 1FA
1050,YO24 4FA
1051,AL4 9RD
1052,SL4 6PP
1053,BD21 3PT
1054,NE42 6DF
1055,TN22 4EP
1056,BS22 9QA
1057,FY1 5PN
1058,SW17 9SZ
1059,SY4 5SQ
1060,GU8 5JP
1061,BS35 2BL
1062,PL4 0RW
1063,BH4 8AX
1064,EX34 9RB
1065,CV23 8UR
1066,SA71 4NT
1067,S60 5BJ
1068,BA11 2AW
1069,WA5 1QW
1070,B69 3EX
1071,BN99 8LS
1072,EH22 4PD
1073,SE27 0HT
1074,W1K 5JD
1075,RG12 8GN
1076,BH14 8TU
1077,NW7 1RW
1078,KW14 7EU
1079,CT7 0PL
1080,DE21 4DZ
1081,ME4 3HR
1082,CV6 5HE
1083,B8 2UE
1084,LE67 3AA
1085,PA15 4NA
1086,SL1 3QQ
1087,YO7 1EJ
1088,WA5 4AD
1089,SE1 3UN
1090,B32 2JH
1091,BN12 4BP
1092,CT4 8AB
1093,LD8 2PT
1094,ME10 2AQ
1095,MK18 2GH
1096,TA16 5PB
1097,NN13 6JX
1098,CM6 1ZU
1099,GY1 1UF
1100,WN5 0JS
1101,KT12 2PE
1102,WD18 8TF
1103,NE38 9DA
1104,CA7 8DN
1105,AB11 6NL
1106,SE13 6TR
1107,SP5 3DG
1108,N19 5HE
1109,LS27 0PT
1110,WC1R 4SE
1111,CF43 4UD
1112,SN1 7NT
1113,DL3 8SA
1114,KA7 3DD
1115,SW8 4AX
1116,SM1 4LA
1117,NR30 3AU
1118,BA12 0SB
1119,BL1 7RL
1120,EX39 4JB
1121,CM8 1XZ
1122,LE7 7SQ
1123,DE55 6EA
1124,TW20 9LS
1125,B65 8JJ
1126,S44 5UN
1127,BN13 2QP
1128,TA6 3LY
1129,SA67 7UH
1130,NE31 2DQ
1131,HA3 0NY
1132,DN20 0EQ
1133,SP4 7ST
1134,HA8 6QA
1135,RM8 2PA
1136,OX9 3UR
1137,PR25 1JJ
1138,HA8 0BY
1139,BA22 8DL
1140,HA5 4AQ
1141,PR7 3NW
1142,DD8 1LN
1143,MK9 2XX
1144,ME1 1QA
1145,NR9 5QW
1146,IP14 2PU
1147,M33 3AH
1148,OL6 6EX
1149,CM4 9NE
1150,M41 9DZ
1151,SY10 7PX
1152,LA14 5AH
1153,EX8 1TJ
1154,DE6 2JL
1155,CT2 7DA
1156,HA3 7HX
1157,FY5 3EU
1158,GL50 2TE
1159,SW9 9HX
1160,SN8 2QU
1161,WF7 6LU
1162,LE3 3GG
1163,W1T 6NF
1164,WA12 8BP
1165,TD12 4HH
1166,PA29 6TE
1167,G69 7HU
1168,CR0 8JT
1169,PE14 7RZ
1170,PE1 5EP
1171,WV14 7DG
1172,S60 5BB
1173,W1K 6US
1174,DE55 6BP
1175,OL11 2HQ
1176,SO40 9EH
1177,PE19 6YN
1178,ST1 2BW
1179,B14 4HG
1180,NG32 3BT
1181,LL11 4HP
1182,GL20 7HU
1183,DA13 9NL
1184,SA19 9SB
1185,NG9 1LJ
1186,S14 1FQ
1187,NP13 1AN
1188,DA1 5RD
1189,SE18 7RS
1190,OX15 5FD
1191,BB4 5DJ
1192,CA12 5SY
1193,SW2 2NB
1194,LE10 2LE
1195,TN37 7BZ
1196,YO15 2LR
1197,DE55 1LY
1198,G31 3BY
1199,YO26 7NE
1200,EN2 7LJ
1201,DA17 5HL
1202,WA12 9WQ
1203,NG12 3HH
1204,DE21 4BA
1205,CO7 9NY
1206,SE8 5NG
1207,SO51 9PA
1208,ME14 3ES
1209,RG29 1QZ
1210,DE72 2BS
1211,LA5 8HL
1212,SL6 3BU
1213,BD8 0DX
1214,M11 1GH
1215,B42 1LJ
1216,NE10 8QU
1217,RM7 1TH
1218,LL20 8RQ
1219,PO10 7JR
1220,TA21 0HU
1221,SY15 6QT
1222,DE13 0RL
1223,G67 2TL
1224,B28 9AT
1225,ME12 4LU
1226,CF38 2BY
1227,PL6 5AU
1228,DH4 6RP
1229,LL38 2PZ
1230,PA23 8SG
1231,BN14 8DT
1232,CT16 3LD
1233,EX3 0QL
1234,DT11 7PN
1235,EX32 9EG
1236,HD5 9NH
1237,ML6 0LA
1238,CV22 5AG
1239,WD3 9XT
1240,EX39 3EF
1241,EX1 3EQ
1242,LL61 5QB
1243,LU2 7AE
1244,TW9 4QH
1245,S74 8JN
1246,DL13 1PY
1247,PR7 5NU
1248,SK17 8HJ
1249,ML11 9NX
1250,EH4 4RH
1251,SY4 2JA
1252,L19 4TD
1253,M34 2HW
1254,NR19 9ST
1255,PL27 6EG
1256,FK19 8QE
1257,OL6 9AE
1258,KT19 9UD
1259,SE16 2HR
1260,PE19 5QT
1261,SA4 4LF
1262,HD1 3AZ
1263,EC2Y 8DR
1264,NE31 2UZ
1265,NW9 5LY
1266,HR1 2NW
1267,SK6 7LT
1268,B13 0RQ
1269,TQ12 1EE
1270,WV14 8DZ
1271,IV2 3JD
1272,OL15 8NG
1273,BS9 1SN
1274,NW1 5JP
1275,WA7 1RG
1276,MK45 3GJ
1277,LD3 8PN
1278,SP5 5LT
1279,OL9 0QF
1280,CA3 8UF
1281,YO16 6YN
1282,PL2 2EQ
1283,NE65 8DL
1284,BR7 5LJ
1285,DN17 3HW
1286,OX29 6XF
1287,WA4 1LL
1288,BN14 8EB
1289,NE4 9TL
1290,NN3 8PX
1291,RG6 5GS
1292,GL4 8EB
1293,SG7 5AY
1294,EH48 2HX
1295,BS6 9PN
1296,TS20 2RW
1297,TQ6 9QW
1298,SW15 4LA
1299,HD3 3PZ
1300,PO16 0TS
1301,G31 4DF
1302,S45 0BX
1303,DA6 7PD
1304,B26 3SS
1305,SG2 8EZ
1306,B35 6JL
1307,DE72 3EX
1308,YO51 9DL
1309,WA13 9TW
1310,L33 4DZ
1311,CB6 2BP
1312,CF3 5TH
1313,EX5 2DP
1314,LA9 4HP
1315,EX15 1JA
1316,IP11 7SD
1317,CV35 8HL
1318,PL18 9AR
1319,NW11 9UB
1320,UB10 8RR
1321,EH6 4UQ
1322,BH21 3PN
1323,HR4 0BD
1324,LS29 8EJ
1325,CV7 8EA
1326,NE39 2JX
1327,W1G 6JY
1328,FY1 6AA
1329,PL5 1UR
1330,FK3 8DA
1331,SG2 7HF
1332,NP13 2PA
1333,OL1 1HY
1334,CM3 8RR
1335,LE16 8TG
1336,TA21 0RA
1337,EH14 2AE
1338,EX5 3BN
1339,HP16 0BH
1340,PE20 3AR
1341,KY2 9DR
1342,BL4 8LX
1343,CM18 7HA
1344,NW1 4XG
1345,CF62 9DZ
1346,BD23 3LF
1347,EH21 8LR
1348,LS10 4AP
1349,CO7 0HF
1350,PL24 2FP
1351,DN14 7UH
1352,WS11 1PU
1353,SO31 6UT
1354,PO15 5BN
1355,DY4 7JF
1356,CF24 1DJ
1357,PE9 3FE
1358,B92 7LL
1359,SP6 2JE
1360,CV5 9NZ
1361,DL6 2AR
1362,B12 9ZA
1363,TS23 3PX
1364,AB11 6XQ
1365,S41 9LW
1366,NN5 6SB
1367,CM11 2QL
1368,SN1 2NA
1369,CO6 4BZ
1370,HR5 3RU
1371,EN5 1DE
1372,WR4 0HQ
1373,DD6 9ND
1374,GL6 8JU
1375,CV5 6DF
1376,BS13 0EA
1377,CT16 1YD
1378,PL7 5ED
1379,ML3 9JR
1380,L23 7YA
1381,SO43 7FG
1382,BB10 4HY
1383,BS20 0HU
1384,SK6 5HB
1385,AL5 4RU
1386,LA14 2NU
1387,BL5 3NF
1388,G75 9AA
1389,NN29 7TA
1390,PL27 6NR
1391,YO62 4AJ
1392,BS7 9PP
1393,LS16 5LG
1394,BH10 4EL
1395,JE2 7QP
1396,UB6 7HY
1397,TR8 5JJ
1398,ME5 7SP
1399,PR2 3RB
1400,EH54 6JA
1401,NG3 1DF
1402,LU7 2YQ
1403,NN13 5PN
1404,PO33 4HR
1405,WV15 5AP
1406,DT6 9EZ
1407,LD2 3UU
1408,HA2 9EG
1409,RG22 5NZ
1410,SA31 1HL
1411,BN17 7HT
1412,PR5 6AH
1413,DN41 8SB
1414,LE8 0ZH
1415,OL14 8NJ
1416,PE7 3LL
1417,IG2 7HR
1418,HG1 2AJ
1419,GL15 4SW
1420,RM3 8DH
1421,LL11 2NU
1422,WA4 6UF
1423,LE14 3TX
1424,CM5 9NN
1425,DN36 5PJ
1426,LS2 9BD
1427,TN12 0RT
1428,GU11 2DN
1429,CF5 2JQ
1430,IV36 2RU
1431,KT18 5PQ
1432,SE3 9TB
1433,WF6 2RT
1434,BN27 1RN
1435,BS2 0RH
1436,KT5 8AX
1437,KT12 3DY
1438,CA14 4TN
1439,L6 1BS
1440,BH8 0AZ
1441,YO19 6QB
1442,BN20 8UF
1443,LN2 3JU
1444,DL6 1EB
1445,RG22 4WZ
1446,B93 8DW
1447,TR19 7LA
1448,TF10 7SE
1449,G33 9BR
1450,GL54 4DX
1451,B16 0LL
1452,PR2 3LN
1453,EX39 4FP
1454,DE12 7DX
1455,SO40 8TD
1456,HD5 9DA
1457,W1W 6PJ
1458,ME2 2UL
1459,CB4 1AD
1460,PA5 9LQ
1461,IP12 4BT
1462,TN21 9HE
1463,G78 2BL
1464,DG7 1EL
1465,IV15 9QG
1466,NN1 2EL
1467,WS13 8XG
1468,ME11 5LX
1469,PO20 3TE
1470,RH19 1HP
1471,WR10 1AB
1472,CT3 1EG
1473,RH11 0UG
1474,RH14 9RF
1475,WV1 4RA
1476,BB9 6RD
1477,TF2 9EE
1478,LN4 3NH
1479,IP12 4EW
1480,PL15 9PR
1481,MK16 8FA
1482,MK41 7DY
1483,SP3 6QF
1484,DA1 4NF
1485,CO5 7PP
1486,NW11 6HP
1487,NR1 2EN
1488,EH12 7PH
1489,KT15 2NB
1490,BN21 2QX
